,4/7/20,4/8/20,4/9/20
Sanford Bemidji Medical Center,3.0,3.0,NA
Sanford Broadway Medical Center,14.0,14.0,NA
Sanford Canby Medical Center,0.0,0.0,NA
Sanford Canton-Inwood Medical Center,0.0,0.0,NA
Sanford Chamberlain Medical Center,0.0,0.0,NA
Sanford Childrens Hospital - Fargo,0.0,0.0,NA
Sanford Clear Lake Medical Center,0.0,0.0,NA
Sanford Hillsboro Medical Center,0.0,0.0,NA
Sanford Jackson Medical Center,0.0,0.0,NA
Sanford Luverne Medical Center,2.0,2.0,NA
Sanford Mayville Medical Center,1.0,1.0,NA
Sanford Medical Center Bismarck (FKA Medcenter One),5.0,5.0,NA
Sanford Medical Center Fargo,0.0,0.0,NA
Sanford Sheldon Medical Center,1.0,1.0,NA
Sanford Thief River Falls Medical Center,2.0,2.0,NA
Sanford Tracy Medical Center,0.0,0.0,NA
Sanford USD Medical Center,28.0,28.0,NA
Sanford Vermillion Medical Center,2.0,2.0,NA
Sanford Webster Medical Center,0.0,0.0,NA
Sanford Westbrook Medical Center,0.0,0.0,NA
Sanford Wheaton Medical Center,0.0,0.0,NA
Sanford Worthington Medical Center (FKA Regional Hospital Worthington),2.0,2.0,NA
Sanpete Valley Hospital,1.0,1.0,NA
Santa Barbara Cottage Hospital,6.0,6.0,NA
Santa Barbara County Psychiatric Health Facility,0.0,0.0,NA
Santa Clara Valley Medical Center,7.0,7.0,NA
Santa Cruz Valley Regional Hospital (FKA Green Valley Hospital),2.0,2.0,NA
Santa Fe Service Unit (AKA Santa Fe Indian Hospital),0.0,0.0,NA
Santa Paula Hospital,0.0,0.0,NA
Santa Rosa Medical Center,3.0,3.0,NA
Santa Rosa Memorial Hospital,15.0,15.0,NA
Santa Ynez Valley Cottage Hospital,1.0,1.0,NA
Santiam Memorial Hospital,2.0,2.0,NA
Sarah Bush Lincoln Health Center,3.0,3.0,NA
Sarah D Culbertson Memorial Hospital,0.0,0.0,NA
Sarasota Memorial Hospital,16.0,16.0,NA
Saratoga Hospital,5.0,5.0,NA
Satanta District Hospital,0.0,0.0,NA
Sauk Prairie Memorial Hospital,2.0,2.0,NA
Saunders Medical Center,2.0,2.0,NA
Savoy Medical Center,2.0,2.0,NA
Scenic Mountain Medical Center,2.0,2.0,NA
Scheurer Hospital,0.0,0.0,NA
Schleicher County Medical Center,0.0,0.0,NA
Schneck Medical Center,6.0,6.0,NA
Schneider Regional Medical Center,2.0,2.0,NA
Schoolcraft Memorial Hospital,2.0,2.0,NA
Schuyler Hospital,2.0,2.0,NA
Schwab Rehabilitation Hospital (FKA Schwab Rehab Hospital & Care Network),2.0,2.0,NA
Scotland County Hospital,2.0,2.0,NA
Scotland Memorial Hospital,3.0,3.0,NA
Scott County Hospital,1.0,1.0,NA
Scott Memorial Hospital,2.0,2.0,NA
Scott Regional Hospital (AKA Scott Regional Medical Center),0.0,0.0,NA
Scottish Rite Hospital (FKA Childrens Healthcare Scottish Rite),6.0,6.0,NA
Scripps Green Hospital,3.0,3.0,NA
Scripps Memorial Hospital Encinitas,5.0,5.0,NA
Scripps Memorial Hospital La Jolla,11.0,11.0,NA
Scripps Mercy Hospital San Diego,16.0,16.0,NA
Sea Pines Rehabilitation Hospital (FKA Healthsouth Sea Pines Rehab Hospital),1.0,1.0,NA
Seaside Behavioral Center - Metairie,0.0,0.0,NA
Seaside Behavioral Center - New Orleans,0.0,0.0,NA
Seaside Health System - Baton Rouge,0.0,0.0,NA
Seattle Cancer Care Alliance,2.0,2.0,NA
Seattle Childrens Hospital,5.0,5.0,NA
Sebastian River Medical Center,4.0,4.0,NA
Sedan City Hospital,0.0,0.0,NA
Sedgwick County Health Center,0.0,0.0,NA
Seiling Municipal Hospital,0.0,0.0,NA
Selby General Hospital Campus,1.0,1.0,NA
Select Rehabilitation Hospital of Denton,0.0,0.0,NA
Select Rehabilitation Hospital of San Antonio (FKA Globalrehab - San Antonio),0.0,0.0,NA
Select Specialty Hospital - Akron,4.0,4.0,NA
Select Specialty Hospital - Ann Arbor,3.0,3.0,NA
Select Specialty Hospital - Augusta,4.0,4.0,NA
Select Specialty Hospital - Battle Creek,3.0,3.0,NA
Select Specialty Hospital - Belhaven,4.0,4.0,NA
Select Specialty Hospital - Birmingham,4.0,4.0,NA
Select Specialty Hospital - Boardman,2.0,2.0,NA
Select Specialty Hospital - Camp Hill,6.0,6.0,NA
Select Specialty Hospital - Canton,2.0,2.0,NA
Select Specialty Hospital - Charleston,4.0,4.0,NA
Select Specialty Hospital - Cincinnati,3.0,3.0,NA
Select Specialty Hospital - Cincinnati North,2.0,2.0,NA
Select Specialty Hospital - Cleveland Gateway,3.0,3.0,NA
Select Specialty Hospital - Columbus,5.0,5.0,NA
Select Specialty Hospital - Columbus East,0.0,0.0,NA
Select Specialty Hospital - Columbus South,3.0,3.0,NA
Select Specialty Hospital - Dallas,3.0,3.0,NA
Select Specialty Hospital - Dallas Downtown,2.0,2.0,NA
Select Specialty Hospital - Danville,3.0,3.0,NA
Select Specialty Hospital - Daytona Beach,3.0,3.0,NA
Select Specialty Hospital - Des Moines,3.0,3.0,NA
Select Specialty Hospital - Downriver,4.0,4.0,NA
Select Specialty Hospital - Durham,3.0,3.0,NA
Select Specialty Hospital - Erie,4.0,4.0,NA
Select Specialty Hospital - Evansville,4.0,4.0,NA
Select Specialty Hospital - Flint,3.0,3.0,NA
Select Specialty Hospital - Fort Myers (FKA Promise Hospital of Fort Myers),3.0,3.0,NA
Select Specialty Hospital - Fort Smith,3.0,3.0,NA
Select Specialty Hospital - Gainesville,4.0,4.0,NA
Select Specialty Hospital - Greensboro,3.0,3.0,NA
Select Specialty Hospital - Gulfport,3.0,3.0,NA
Select Specialty Hospital - Hampton Roads,2.0,2.0,NA
Select Specialty Hospital - Jackson,6.0,6.0,NA
Select Specialty Hospital - Johnstown,3.0,3.0,NA
Select Specialty Hospital - Kansas City,3.0,3.0,NA
Select Specialty Hospital - Knoxville,3.0,3.0,NA
Select Specialty Hospital - Laurel Highlands,3.0,3.0,NA
Select Specialty Hospital - Lexington,3.0,3.0,NA
Select Specialty Hospital - Lincoln,3.0,3.0,NA
Select Specialty Hospital - Longview,2.0,2.0,NA
Select Specialty Hospital - Macomb,5.0,5.0,NA
Select Specialty Hospital - Madison,3.0,3.0,NA
Select Specialty Hospital - McKeesport,2.0,2.0,NA
Select Specialty Hospital - Memphis,4.0,4.0,NA
Select Specialty Hospital - Miami,7.0,7.0,NA
Select Specialty Hospital - Miami Lakes (FKA Promise Hospital of Miami),5.0,5.0,NA
Select Specialty Hospital - Midtown Atlanta,4.0,4.0,NA
Select Specialty Hospital - Milwaukee West Allis,3.0,3.0,NA
Select Specialty Hospital - Muskegon (FKA Great Lakes Specialty Hospital - Hackley),2.0,2.0,NA
Select Specialty Hospital - Nashville,5.0,5.0,NA
Select Specialty Hospital - North Knoxville,4.0,4.0,NA
Select Specialty Hospital - Northeast New Jersey,4.0,4.0,NA
Select Specialty Hospital - Northern Kentucky,2.0,2.0,NA
Select Specialty Hospital - Northwest Detroit,3.0,3.0,NA
Select Specialty Hospital - Oklahoma City,5.0,5.0,NA
Select Specialty Hospital - Omaha,3.0,3.0,NA
Select Specialty Hospital - Orlando North,5.0,5.0,NA
Select Specialty Hospital - Palm Beach,5.0,5.0,NA
Select Specialty Hospital - Pensacola,5.0,5.0,NA
Select Specialty Hospital - Phoenix,4.0,4.0,NA
Select Specialty Hospital - Pittsburgh UPMC,2.0,2.0,NA
Select Specialty Hospital - Quad Cities,3.0,3.0,NA
Select Specialty Hospital - Saginaw,3.0,3.0,NA
Select Specialty Hospital - San Diego (FKA Vibra Hospital of San Diego),5.0,5.0,NA
Select Specialty Hospital - Savannah,3.0,3.0,NA
Select Specialty Hospital - South Atlanta (FKA Regency Hospital of South Atlanta),2.0,2.0,NA
Select Specialty Hospital - South Dakota,2.0,2.0,NA
Select Specialty Hospital - Southeast Ohio (FKA Select Specialty Hospital - Zanesville),3.0,3.0,NA
Select Specialty Hospital - Spectrum Health (FKA Select Specialty Hospital - Grand Rapids),3.0,3.0,NA
Select Specialty Hospital - Springfield,3.0,3.0,NA
Select Specialty Hospital - St Louis,4.0,4.0,NA
Select Specialty Hospital - Tallahassee,4.0,4.0,NA
Select Specialty Hospital - The Villages (FKA Promise Hospital of Florida at the Villages),3.0,3.0,NA
Select Specialty Hospital - Town and Country,0.0,0.0,NA
Select Specialty Hospital - Tri Cities,4.0,4.0,NA
Select Specialty Hospital - Tulsa,3.0,3.0,NA
Select Specialty Hospital - Wichita,4.0,4.0,NA
Select Specialty Hospital - Wilmington,4.0,4.0,NA
Select Specialty Hospital - Youngstown,5.0,5.0,NA
Self Regional Healthcare,8.0,8.0,NA
Sells Indian Hospital,1.0,1.0,NA
Seneca Healthcare District Hospital,1.0,1.0,NA
Sentara Albemarle Medical Center,4.0,4.0,NA
Sentara CarePlex Hospital,7.0,7.0,NA
Sentara Halifax Regional Hospital,5.0,5.0,NA
Sentara Leigh Hospital,13.0,13.0,NA
Sentara Martha Jefferson Hospital,6.0,6.0,NA
Sentara Norfolk General Hospital,20.0,20.0,NA
Sentara Northern Virginia Medical Center (FKA Potomac Hospital),8.0,8.0,NA
Sentara Obici Hospital,7.0,7.0,NA
Sentara Princess Anne Hospital,8.0,8.0,NA
Sentara RMH Medical Center (FKA Rockingham Memorial Hospital),12.0,12.0,NA
Sentara Virginia Beach General Hospital,12.0,12.0,NA
Sentara Williamsburg Regional Medical Center,5.0,5.0,NA
Sequoia Hospital,3.0,3.0,NA
Serenity Springs Specialty Hospital,0.0,0.0,NA
Seton Medical Center,5.0,5.0,NA
Seton Medical Center Coastside,0.0,0.0,NA
Seton Medical Center Harker Heights,5.0,5.0,NA
Seven Hills Hospital,0.0,0.0,NA
Sevier Valley Hospital,1.0,1.0,NA
Seymour Hospital,1.0,1.0,NA
Sgt John L Levitow Veterans Health Center (AKA Rocky Hill Veterans Home),0.0,0.0,NA
Shamrock General Hospital,0.0,0.0,NA
Shands Lake Shore Regional Medical Center,2.0,2.0,NA
Shands Live Oak Regional Medical Center,2.0,2.0,NA
Shands Starke Regional Medical Center,2.0,2.0,NA
Shannon Medical Center,4.0,4.0,NA
Share Medical Center,1.0,1.0,NA
Sharkey Issaquena Community Hospital,0.0,0.0,NA
Sharon Hospital,2.0,2.0,NA
Sharon Regional Medical Center (FKA Sharon Regional Health System),4.0,4.0,NA
Sharp Chula Vista Medical Center,13.0,13.0,NA
Sharp Coronado Hospital,2.0,2.0,NA
Sharp Grossmont Hospital,32.0,32.0,NA
Sharp McDonald Center,0.0,0.0,NA
Sharp Memorial Hospital,16.0,16.0,NA
Sharp Mesa Vista Hospital,1.0,1.0,NA
Shasta Regional Medical Center,11.0,11.0,NA
Shelby Baptist Medical Center,6.0,6.0,NA
Shenandoah Medical Center,2.0,2.0,NA
Shenandoah Memorial Hospital,2.0,2.0,NA
Shepherd Center,2.0,2.0,NA
Sheppard Pratt - Towson Campus (AKA Sheppard & Enoch Pratt Hospital),0.0,0.0,NA
Sheridan Community Hospital,0.0,0.0,NA
Sheridan County Hospital,0.0,0.0,NA
Sheridan Memorial Hospital,2.0,2.0,NA
Sheridan Memorial Hospital Association,1.0,1.0,NA
Sheridan VA Medical Center,1.0,1.0,NA
Sherman Oaks Hospital,8.0,8.0,NA
Shiprock - Northern Navajo Medical Center,1.0,1.0,NA
Shirley Ryan AbilityLab (FKA the Rehabilitation Institute of Chicago),2.0,2.0,NA
Shoals Hospital,2.0,2.0,NA
Shodair Childrens Hospital,0.0,0.0,NA
Shore Medical Center (FKA Shore Memorial Hospital),7.0,7.0,NA
Shore Rehabilitation Institute,0.0,0.0,NA
Shoshone Medical Center,0.0,0.0,NA
Shriners Hospitals for Children - Boston,0.0,0.0,NA
Shriners Hospitals for Children - Chicago,1.0,1.0,NA
Shriners Hospitals for Children - Cincinnati (Closing Summer 2020),1.0,1.0,NA
Shriners Hospitals for Children - Galveston,2.0,2.0,NA
Shriners Hospitals for Children - Greenville,0.0,0.0,NA
Shriners Hospitals for Children - Honolulu,0.0,0.0,NA
Shriners Hospitals for Children - Houston,0.0,0.0,NA
Shriners Hospitals for Children - Northern California,0.0,0.0,NA
Shriners Hospitals for Children - Philadelphia,1.0,1.0,NA
Shriners Hospitals for Children - Portland,0.0,0.0,NA
Shriners Hospitals for Children - Salt Lake City,0.0,0.0,NA
Shriners Hospitals for Children - Shreveport,0.0,0.0,NA
Shriners Hospitals for Children - Spokane,1.0,1.0,NA
Shriners Hospitals for Children - Springfield,0.0,0.0,NA
Shriners Hospitals for Children - St Louis,0.0,0.0,NA
Shriners Hospitals for Children - Tampa,0.0,0.0,NA
Shriners Hospitals for Children - Twin Cities,0.0,0.0,NA
Shriners Hospitals for Children Medical Center (AKA Shriners Hospitals for Children - Lexington),0.0,0.0,NA
Shriners for Children Medical Center - Pasadena (FKA Shriners Hospitals for Children - Los Angeles),0.0,0.0,NA
Sibley Memorial Hospital,5.0,5.0,NA
Sidney Health Center,2.0,2.0,NA
Sidney Regional Medical Center (FKA Memorial Health Center),2.0,2.0,NA
Sierra Nevada Memorial Hospital,5.0,5.0,NA
Sierra Tucson Psychiatric Hospital,0.0,0.0,NA
Sierra View Medical Center (FKA Sierra View District Hospital),6.0,6.0,NA
Sierra Vista Hospital,0.0,0.0,NA
Sierra Vista Regional Medical Center (FKA Sierra Vista Regional Medical Center),3.0,3.0,NA
Signature Healthcare Brockton Hospital,6.0,6.0,NA
Signature Psychiatric Hospital,0.0,0.0,NA
Siloam Springs Regional Hospital,2.0,2.0,NA
Silver Cross Hospital,7.0,7.0,NA
Silver Hill Hospital,0.0,0.0,NA
Silver Oaks Behavioral Hospital,0.0,0.0,NA
Simpson General Hospital,0.0,0.0,NA
Sinai Hospital of Baltimore,11.0,11.0,NA
Singing River Hospital,27.0,27.0,NA
Sioux Center Health,1.0,1.0,NA
Sioux Falls Specialty Hospital,0.0,0.0,NA
Sioux Falls VA Health Care System - Royal C Johnson Veterans Memorial Hospital,1.0,1.0,NA
Siskin Hospital for Physical Rehab,0.0,0.0,NA
Sisters of Charity Hospital,4.0,4.0,NA
Sistersville General Hospital,2.0,2.0,NA
Skagit Valley Hospital (AKA Skagit Regional Health),5.0,5.0,NA
Sky Lakes Medical Center,2.0,2.0,NA
Sky Ridge Medical Center,4.0,4.0,NA
Skyline Hospital,1.0,1.0,NA
Sleepy Eye Medical Center (FKA Sleepy Eye Municipal Hospital),1.0,1.0,NA
Slidell Memorial Hospital,4.0,4.0,NA
Smith County Memorial Hospital,0.0,0.0,NA
Smokey Point Behavioral Hospital,0.0,0.0,NA
Smyth County Community Hospital,2.0,2.0,NA
Snoqualmie Valley Hospital,0.0,0.0,NA
Socorro General Hospital,2.0,2.0,NA
Soin Medical Center,3.0,3.0,NA
Sojourn at Seneca,0.0,0.0,NA
Solara Specialty Hospitals Harlingen,5.0,5.0,NA
Solara Specialty Hospitals McAllen,3.0,3.0,NA
Soldiers & Sailors Memorial Hospital,2.0,2.0,NA
Sonoma Specialty Hospital (FKA Sonoma West Medical Center Palm Drive Hospital),2.0,2.0,NA
Sonoma Valley Hospital,2.0,2.0,NA
Sonora Behavioral Health Hospital,0.0,0.0,NA
South Baldwin Regional Medical Center,3.0,3.0,NA
South Bay Hospital,3.0,3.0,NA
South Beach Psychiatric Center,0.0,0.0,NA
South Big Horn County Hospital,0.0,0.0,NA
South Cameron Memorial Hospital,0.0,0.0,NA
South Central Health (FKA Wishek Community Hospital),0.0,0.0,NA
South Central Kansas Regional Medical Center,2.0,2.0,NA
South Central Regional Medical Center,5.0,5.0,NA
South Charlotte VA Clinic,NA,NA,NA
South Coast Global Medical Center (FKA Coastal Communities Hospital),2.0,2.0,NA
South County Hospital,3.0,3.0,NA
South Dakota Human Services Center,0.0,0.0,NA
South Davis Community Hospital,2.0,2.0,NA
South Florida Baptist Hospital,3.0,3.0,NA
South Florida Evaluation & Treatment Center,0.0,0.0,NA
South Florida State Hospital,0.0,0.0,NA
South Georgia Medical Center,9.0,9.0,NA
South Georgia Medical Center Berrien Campus (FKA Berrien County Hospital),1.0,1.0,NA
South Georgia Medical Center Lanier Campus (FKA Louis Smith Memorial Hospital),1.0,1.0,NA
South Lincoln Medical Center,2.0,2.0,NA
South Lyon Medical Center,0.0,0.0,NA
South Miami Hospital,12.0,12.0,NA
South Mississippi County Regional Medical Center,1.0,1.0,NA
South Mississippi State Hospital,0.0,0.0,NA
South Oaks Hospital,0.0,0.0,NA
South Peninsula Hospital,1.0,1.0,NA
South Plains Rehabilitation Hospital,0.0,0.0,NA
South Pointe Hospital,3.0,3.0,NA
South Shore Hospital,14.0,14.0,NA
South Sound Behavioral Hospital,0.0,0.0,NA
South Sunflower County Hospital,2.0,2.0,NA
South Texas Health System Edinburg (FKA Edinburg Regional Medical Center),11.0,11.0,NA
South Texas Rehabilitation Hospital,2.0,2.0,NA
South Texas Spine & Surgical Hospital,0.0,0.0,NA
South Texas Surgical Hospital,1.0,1.0,NA
South Texas Veterans Health Care System - Audie L Murphy VA Hospital,2.0,2.0,NA
South Texas Veterans Health Care System - Kerrville VA Hospital,0.0,0.0,NA
Southampton Memorial Hospital,2.0,2.0,NA
Southcoast Behavioral Health,0.0,0.0,NA
Southeast Colorado Hospital,2.0,2.0,NA
Southeast Georgia Health System - Brunswick Campus,8.0,8.0,NA
Southeast Georgia Health System - Camden Campus,2.0,2.0,NA
Southeast Health (FKA Southeast Alabama Medical Center),8.0,8.0,NA
Southeast Health Center of Stoddard County (FKA Dexter Hospital),2.0,2.0,NA
Southeast Hospital,5.0,5.0,NA
Southeast Louisiana Veterans Health Care System (AKA New Orleans VA Medical Center),2.0,2.0,NA
Southeast Missouri Mental Health Center,0.0,0.0,NA
Southeast Rehab LLC,0.0,0.0,NA
Southeastern Health (FKA Southeastern Regional Medical Center),11.0,11.0,NA
Southeastern KY Medical Center (FKA Pineville Community Hospital),2.0,2.0,NA
Southeastern Ohio Regional Medical Center,4.0,4.0,NA
Southern Arizona VA Health Care System,2.0,2.0,NA
Southern California Hospital at Hollywood (FKA Hollywood Community Hospital),6.0,6.0,NA
Southern Coos Hospital and Health Center,2.0,2.0,NA
Southern Hills Hospital & Medical Center,7.0,7.0,NA
Southern Indiana Rehabilitation Hospital,0.0,0.0,NA
Southern Inyo Hospital (AKA Southern Inyo Healthcare District),0.0,0.0,NA
Southern Kentucky Rehabilitation Hospital,2.0,2.0,NA
Southern Maine Health Care - Biddeford (AKA SMHC Medical Center - Biddeford),4.0,4.0,NA
Southern Nevada Adult Mental Health,0.0,0.0,NA
Southern New Hampshire Medical Center,6.0,6.0,NA
Southern Ocean Medical Center,6.0,6.0,NA
Southern Ohio Medical Center,7.0,7.0,NA
Southern Oregon Rehabilitation Center (AKA White City VA Medical Center),0.0,0.0,NA
Southern Regional Medical Center,6.0,6.0,NA
Southern Surgical Hospital,2.0,2.0,NA
Southern Tennessee Regional Health System - Lawrenceburg (FKA Crockett Hospital),3.0,3.0,NA
Southern Tennessee Regional Health System - Pulaski (FKA Hillside Hospital),2.0,2.0,NA
Southern Tennessee Regional Health System - Winchester,2.0,2.0,NA
Southern Virginia Mental Health Institute,0.0,0.0,NA
Southern Virginia Regional Medical Center,2.0,2.0,NA
Southern Winds Hospital,0.0,0.0,NA
Southside Hospital,15.0,15.0,NA
Southside Regional Medical Center,5.0,5.0,NA
Southwell Medical (FKA Cook Medical Center),0.0,0.0,NA
Southwest General Health Center,10.0,10.0,NA
Southwest General Hospital,3.0,3.0,NA
Southwest Georgia Regional Medical Center,1.0,1.0,NA
Southwest Health Center,2.0,2.0,NA
Southwest Healthcare Services Hospital,0.0,0.0,NA
Southwest Medical Center,2.0,2.0,NA
Southwest Memorial Hospital,2.0,2.0,NA
Southwest Mississippi Regional Medical Center,6.0,6.0,NA
Southwest Missouri Psychiatric Rehabilitation Center,0.0,0.0,NA
Southwestern Medical Center,2.0,2.0,NA
Southwestern Vermont Medical Center,3.0,3.0,NA
Southwestern Virginia Mental Health Institute,0.0,0.0,NA
Southwood Psychiatric Hospital,0.0,0.0,NA
Sovah Health - Danville (FKA Danville Regional Medical Center),7.0,7.0,NA
Spalding Rehabilitation Hospital,1.0,1.0,NA
Spanish Peaks Regional Health Center,0.0,0.0,NA
Sparrow Carson Hospital (FKA Carson City Hospital),2.0,2.0,NA
Sparrow Clinton Hospital,2.0,2.0,NA
Sparrow Eaton Hospital (FKA Hayes Green Beach Memorial Hospital),2.0,2.0,NA
Sparrow Hospital,14.0,14.0,NA
Sparrow Ionia Hospital (AKA Sparrow Ionia County Memorial Hospital),2.0,2.0,NA
Sparrow Specialty Hospital,2.0,2.0,NA
Sparta Community Hospital,1.0,1.0,NA
Spartanburg Hospital for Restorative Care,2.0,2.0,NA
Spartanburg Medical Center,23.0,23.0,NA
Spartanburg Medical Center - Mary Black Campus (FKA Mary Black Health System - Spartanburg),2.0,2.0,NA
Spartanburg Rehabilitation Institute,2.0,2.0,NA
Spaulding Hospital for Continuing Medical Care Cambridge (FKA Youville Hospital),3.0,3.0,NA
Spaulding Rehabilitation Hospital Boston,2.0,2.0,NA
Spaulding Rehabilitation Hospital Cape Cod,1.0,1.0,NA
Speare Memorial Hospital,2.0,2.0,NA
Specialists Hospital Shreveport,0.0,0.0,NA
Specialty Hospital,2.0,2.0,NA
Specialty Hospital of Central Jersey (FKA Specialty Hospital at Kimball),4.0,4.0,NA
Specialty Hospital of Lorain,2.0,2.0,NA
Specialty Rehabilitation Hospital,0.0,0.0,NA
Spectrum Health Big Rapids Hospital (FKA Mecosta County Medical Center),2.0,2.0,NA
Spectrum Health Butterworth Hospital,25.0,25.0,NA
Spectrum Health Gerber Memorial,2.0,2.0,NA
Spectrum Health Kelsey Hospital,0.0,0.0,NA
Spectrum Health Ludington Hospital,2.0,2.0,NA
Spectrum Health Pennock,2.0,2.0,NA
Spectrum Health Reed City Hospital,2.0,2.0,NA
Spectrum Health United Hospital,2.0,2.0,NA
Spectrum Health Zeeland Community Hospital,2.0,2.0,NA
Spence and Becky Wilson Baptist Childrens Hospital,1.0,1.0,NA
Spencer Hospital,1.0,1.0,NA
Spooner Health,1.0,1.0,NA
Spotsylvania Regional Medical Center,4.0,4.0,NA
Spring Grove Hospital Center,0.0,0.0,NA
Spring Harbor Hospital,0.0,0.0,NA
Spring Mountain Sahara,2.0,2.0,NA
Spring Mountain Treatment Center,1.0,1.0,NA
Spring Valley Hospital Medical Center,15.0,15.0,NA
Spring View Hospital,2.0,2.0,NA
Springbrook Behavioral Health,0.0,0.0,NA
Springbrook Hospital,0.0,0.0,NA
Springfield Hospital,2.0,2.0,NA
Springfield Hospital Center,0.0,0.0,NA
Springhill Medical Center,2.0,2.0,NA
Springwoods Behavioral Health,0.0,0.0,NA
St Agnes Hospital,3.0,3.0,NA
St Alexius Hospital - Broadway Campus,2.0,2.0,NA
St Aloisius Medical Center,0.0,0.0,NA
St Andrews Health Center,0.0,0.0,NA
St Anthony Community Hospital,2.0,2.0,NA
St Anthony Hospital,2.0,2.0,NA
St Anthony North Health Campus,3.0,3.0,NA
St Anthony Regional Hospital,1.0,1.0,NA
St Anthony Summit Medical Center,2.0,2.0,NA
St Anthonys Hospital,8.0,8.0,NA
St Anthonys Rehabilitation Hospital,0.0,0.0,NA
St Anthonys Senior Care Hospital - Olathe,0.0,0.0,NA
St Anthonys Senior Care Hospital - Wichita,0.0,0.0,NA
St Barnabas Hospital,8.0,8.0,NA
St Bernard Hospital,4.0,4.0,NA
St Bernard Parish Hospital,2.0,2.0,NA
St Bernardine Medical Center,8.0,8.0,NA
St Bernards Five Rivers (FKA Five Rivers Medical Center),1.0,1.0,NA
St Bernards Medical Center,11.0,11.0,NA
St Catherine Hospital,2.0,2.0,NA
St Catherine Memorial Hospital (FKA Specialty Hospital of New Orleans),2.0,2.0,NA
St Catherine of Siena Medical Center,7.0,7.0,NA
St Catherines Rehabilitation Hospital,0.0,0.0,NA
St Charles Health System - Bend,6.0,6.0,NA
St Charles Health System - Madras,2.0,2.0,NA
St Charles Health System - Prineville (FKA Pioneer Memorial Hospital),2.0,2.0,NA
St Charles Health System - Redmond,2.0,2.0,NA
St Charles Hospital,4.0,4.0,NA
St Charles Parish Hospital,2.0,2.0,NA
St Charles Surgical Hospital,0.0,0.0,NA
St Christophers Hospital for Children,7.0,7.0,NA
St Clair Memorial Hospital (FKA St Clair Hospital),4.0,4.0,NA
St Claire Regional Medical Center (AKA St Claire HealthCare),7.0,7.0,NA
St Clare Hospital,6.0,6.0,NA
St Cloud Hospital,20.0,20.0,NA
St Cloud Regional Medical Center,3.0,3.0,NA
St Cloud VA Health Care System,0.0,0.0,NA
St Croix Regional Medical Center,2.0,2.0,NA
St Davids Medical Center,13.0,13.0,NA
St Davids North Austin Medical Center,8.0,8.0,NA
St Davids Round Rock Medical Center,6.0,6.0,NA
St Davids South Austin Medical Center,13.0,13.0,NA
St Davids Surgical Hospital (FKA Forest Park Medical Center - Austin),0.0,0.0,NA
St Dominic Hospital (AKA St Dominic Jackson Memorial Hospital),15.0,15.0,NA
St Elias Specialty Hospital,2.0,2.0,NA
St Elizabeth Campus (AKA St Elizabeth Medical Center),6.0,6.0,NA
St Elizabeth Community Hospital,4.0,4.0,NA
St Elizabeth Covington (FKA St Elizabeth Medical Center North),11.0,11.0,NA
St Elizabeth Florence,5.0,5.0,NA
St Elizabeth Ft Thomas (FKA Cardinal Hill Specialty Hospital),4.0,4.0,NA
St Elizabeth Grant,1.0,1.0,NA
St Elizabeth Hospital,2.0,2.0,NA
St Elizabeths Hospital,0.0,0.0,NA
St Elizabeths Medical Center,7.0,7.0,NA
St Francis Downtown,6.0,6.0,NA
St Francis Hospital,13.0,6.0,NA
St Francis Hospital - The Heart Center,23.0,23.0,NA
St Francis Medical Center,9.0,9.0,NA
St Francis Memorial Hospital,1.0,1.0,NA
St Francis P&S Surgery & Heart Center,0.0,0.0,NA
St Francis Regional Medical Center,2.0,2.0,NA
St Helena Parish Hospital,0.0,0.0,NA
St James Behavioral Health Hospital,0.0,0.0,NA
St James Healthcare,2.0,2.0,NA
St James Hospital (FKA St James Mercy Hospital),2.0,2.0,NA
St James Parish Hospital,2.0,2.0,NA
St John Broken Arrow,2.0,2.0,NA
St John Medical Center,39.0,39.0,NA
St John Owasso,2.0,2.0,NA
St John Rehabilitation Hospital,2.0,2.0,NA
St John Sapulpa,2.0,2.0,NA
St Johns Episcopal Hospital at South Shore,8.0,8.0,NA
St Johns Health (FKA St Johns Medical Center),2.0,2.0,NA
St Johns Pleasant Valley Hospital,4.0,4.0,NA
St Johns Regional Medical Center,9.0,9.0,NA
St Johns Riverside Hospital - Andrus Pavilion,7.0,7.0,NA
St Joseph Hospital,3.0,3.0,NA
St Joseph Hospital - Eureka,8.0,8.0,NA
St Joseph Hospital Orange,6.0,6.0,NA
St Joseph Hospital of ME,6.0,6.0,NA
St Joseph Hospital of NH,3.0,3.0,NA
St Joseph Medical Center,8.0,8.0,NA
St Joseph Mercy Ann Arbor Hospital,22.0,22.0,NA
St Joseph Mercy Chelsea Hospital (FKA Chelsea Community Hospital),2.0,2.0,NA
St Joseph Mercy Livingston Hospital,3.0,3.0,NA
St Joseph Mercy Oakland Hospital,9.0,9.0,NA
St Joseph Regional Medical Center,4.0,4.0,NA
St Josephs Behavioral Health Center,0.0,0.0,NA
St Josephs Health Hospital (FKA St Josephs Hospital Health Center),14.0,14.0,NA
St Josephs Hospital,10.0,2.0,NA
St Josephs Hospital (AKA Froedtert West Bend),5.0,5.0,NA
St Josephs Hospital Behavioral Health Center,0.0,0.0,NA
St Josephs Hospital and Medical Center,29.0,29.0,NA
St Josephs Medical Center,19.0,19.0,NA
